bate,min,dif,tt_unid,ano_lan,ar_ut_un
FALSE,97,-0.09278350515463918,88,2017,43.4
TRUE,27,0,27,2015,46.5
FALSE,28,-0.0714285714285714,26,2015,49.32
FALSE,27,-0.03703703703703709,26,2015,38.72
FALSE,30,-0.16666666666666663,25,2013,47
FALSE,30,-0.33333333333333337,20,2013,47
FALSE,23,-0.5217391304347826,11,2013,86
TRUE,26,0.6923076923076923,44,2017,15.12
TRUE,37,0.18918918918918926,44,2017,15.12
FALSE,36,-0.38888888888888884,22,2014,69.18
FALSE,11,-0.4545454545454546,6,2014,83.49
TRUE,36,1,72,2018,25.22
FALSE,83,-0.45783132530120485,45,2014,68.5
FALSE,68,-0.5588235294117647,30,2014,92
FALSE,90,-0.07777777777777772,83,2015,49.7
FALSE,81,-0.33333333333333337,54,2015,59.9
TRUE,13,0.15384615384615374,15,2017,42.64
TRUE,15,0,15,2017,42.64
TRUE,5,2,15,2017,15.12
TRUE,39,0.02564102564102555,40,2014,35
FALSE,142,-0.619718309859155,54,2014,121.1
FALSE,114,-0.7543859649122807,28,2013,151
FALSE,43,-0.11627906976744184,38,2017,44.44
FALSE,31,-0.032258064516129004,30,2018,47.26
FALSE,34,-0.11764705882352944,30,2018,51.85
FALSE,104,-0.75,26,2010,156.26
FALSE,86,-0.7674418604651163,20,2010,156.26
TRUE,36,0.5555555555555556,56,2014,31.37
FALSE,12,-0.6666666666666667,4,2008,132.85
FALSE,45,-0.5555555555555556,20,2008,84.02
FALSE,14,-0.7142857142857143,4,2008,135.84
FALSE,44,-0.6363636363636364,16,2008,107.1
FALSE,61,-0.19672131147540983,49,2011,46.12
FALSE,44,-0.2727272727272727,32,2011,43.83
FALSE,21,-0.2857142857142857,15,2011,46.12
FALSE,26,-0.1923076923076923,21,2012,45.95
FALSE,108,-0.35185185185185186,70,2012,45.95
FALSE,133,-0.7443609022556391,34,2013,171
TRUE,35,0.7714285714285714,62,2018,26.08
FALSE,320,-0.75,80,2018,170.52
FALSE,365,-0.7041095890410959,108,2014,141.6
FALSE,75,-0.7333333333333334,20,2009,158
FALSE,41,-0.7560975609756098,10,2009,158
TRUE,26,0.15384615384615374,30,2014,33.76
FALSE,202,-0.801980198019802,40,2012,244.11
FALSE,44,-0.5,22,2008,93
FALSE,108,-0.5185185185185186,52,2012,71.59
FALSE,124,-0.4838709677419355,64,2009,76.42
FALSE,170,-0.11176470588235299,151,2009,52.5
FALSE,120,-0.22499999999999998,93,2010,64.53
FALSE,178,-0.2808988764044944,128,2010,69.63
FALSE,549,-0.4663023679417122,293,2018,82.3
FALSE,938,-0.7334754797441365,250,2018,163.26
FALSE,62,-0.3548387096774194,40,2018,69.06
TRUE,41,0.07317073170731714,44,2009,47
FALSE,118,-0.5254237288135593,56,2012,88.87
FALSE,109,-0.5321100917431192,51,2012,90.72
FALSE,12,-0.5833333333333333,5,2012,90.34
FALSE,59,-0.5254237288135593,28,2013,89
FALSE,56,-0.5357142857142857,26,2013,91
FALSE,5,-0.6,2,2013,90
FALSE,59,-0.5254237288135593,28,2013,89
FALSE,55,-0.5272727272727273,26,2013,90
FALSE,5,-0.6,2,2013,90
FALSE,68,-0.17647058823529416,56,2014,55.2
TRUE,11,0.4545454545454546,16,2014,37.9
TRUE,28,0.25,35,2014,44.89
FALSE,332,-0.7710843373493976,76,2014,160.26
FALSE,190,-0.8,38,2014,192.36
FALSE,82,-0.5853658536585367,34,2011,102.86
FALSE,99,-0.1515151515151515,84,2011,53.69
FALSE,155,-0.4580645161290322,84,2011,75.7
FALSE,110,-0.3909090909090909,67,2012,69.6
FALSE,331,-0.5921450151057401,135,2012,92.39
TRUE,14,0.1428571428571428,16,2014,44
FALSE,18,-0.11111111111111116,16,2014,54
